,İsim,IMDb Puanı,Yıl,Ülke,Film Süresi,Türler,Yönetmen,Senarist,Oyuncular,Ödüller,Konu
1127,Drug War - Uyuşturucu Savaşları,7.0,2012,"China, Hong Kong",107 dakika,"Aksiyon, Dram, Suç",Johnnie To,"a-Fai Wai, Nai-Hoi Yau, Ryker Chan, Xi Yu ","Honglei Sun, Louis Koo, Yi Huang, Yunxiang Gao",10 ödül & 28 Adaylık.,"Arabasının kontrolünü kaybeden ve bir restorana çarpan bir adam bilincini kaybeder. Daha sonra olay yerine tesadüfen gelen uyuşturucu ile mücadele bölümü amiri Zhang Lei Honglei Sun, kazadaki adamın uyuşturucu lordu Tian Ming olduğunu fark eder. Tian Ming, ölüm cezasından kaçmak için polisin tüm uyuşturucu kaçakçılığını durdurmasına yardım eder, ancak polis büyük bir baskın yapmaya hazır olur olmaz Tian Ming şok edecek bir karar verir. Kült filmlerden 1080p görüntü kalitesiyle Drug War altyazılı izle yebilirsiniz."
1128,Drug War - Uyuşturucu Savaşları,0.0,0,Ülke belirtilmemiş,0,ür belirtilmemiş.,Yönetmen belirtilmemiş.,Senarist belirtilmemiş.,Oyuncular belirtilmemiş.,Bulunan ödül yok.,Konu belirtilmemiş.
1129,Purple Hearts - Kalplerimiz Bir,7.0,2022,United States,122 dakika,"Dram, Müzik, Romantik",Elizabeth Allen Rosenbaum,"iz W. Garcia, Kyle Jarrow","Anthony Ippolito, Nicholas Galitzine, Sofia Carson",Bulunan ödül yok.,Kalkınan bir müzisyen ve Irak'a gitmek üzere olan bir denizci evlenmeye karar verir. Ancak bir trajedi çok geçmeden sahte ilişkilerini çok gerçek bir şeye dönüştürür.
1130,Breakdown - Tuzak,7.0,1997,United States,93 dakika,"Dram, Gizem, Suç",Jonathan Mostow,"onathan Mostow, Sam Montgomery","J.T. Walsh, Kathleen Quinlan, Kurt Russell",1 ödül & 2 Adaylık.,"Bir çift, araziden geçerken bir kamyonla çarpışmaktan kıl payı kurtulur. Kamyon şoförü tepki gösterir ama çift özür diledikten sonra yoluna devam eder. Jipleri boş bir yolda bozulur. Amy, bir kamyoncuyla yardım çağırmak için küçük bir lokantaya gider ancak uzun bir süre sonra kocsı Jeff endişelenmeye başlar. Lokantadaki hiç kimsenin karısını görmediğini veya ondan haber almadığını öğrenir. Amy'yi alan kamyoncuyu bulduğunda, kamyoncu onu hiç görmediğine yemin eder. Şimdi Jeff, kaçırılan karısını bulmaya çalışmalıdır. Ama kime güvenebilir? Kült Filmlerden 1080p görüntü kalitesiyle Breakdown izle yebilirsiniz."
1131,Demolition - Yeniden Başla,7.0,2015,Amerika,101 dakika,"Dram, Komedi",Jean-Marc Vallée,ryan Sipe,"Chris Cooper, Jake Gyllenhaal, Judah Lewis, Naomi Watts",1 ödül & 2 Adaylık.,"Davis Mitchell, bir yatırım uzmanıdır ve rahat bir yaşama sahiptir, ancak karısı bir araba kazasında ölünce tüm hayat onun için aniden durma noktasına gelir. Bir gün parasını kaptırdığı bir bankamatiği üreten şirkete mektuplar yazmaya başlar. Davis'in mektupları, müşteri hizmetleri temsilcisi Karen'ın dikkatini çekiyor. Kendi duygusal ve maddi sorunlarının ortasında, ikisi beklenmedik bir bağ kuracaktır. Kült filmlerden 1080p görüntü kalitesiyle Demolition altyazılı izle yebilirsiniz."
1132,Gomorra(Gomorrah) ,7.0,2008,"Belgium, Italy",137 dakika,"Dram, Suç",Matteo Garrone,"oberto Saviano, Maurizio Braucci, Ugo Chiti","Gianfelice Imparato, Salvatore Abbruzzese, Toni Servillo",1 BAFTA Award34 wins & 42 nominations total.Nominated for 1 BAFTA Award34 ödül & 42 Adaylık. total,"İtalya'nın günümüz suç ailelerine, Napoli'deki Camorra ve Caserta'ya içeriden bir bakış. Roberto Saviano'nun bir kitabından uyarlanmıştır. Güç, para ve kan: Napoli ve Caserta Eyaleti sakinlerinin her gün yüzleşmek zorunda oldukları “değerler” bunlardır. Neredeyse hiçbir seçeneğe sahip değiller ve Camorra'nın kurallarına uymak zorunda kalıyorlar. Sadece şanslı birkaç kişi normal bir hayat sürmeyi başarabilir. Kült Filmlerden 1080p görüntü kalitesiyle Gomorrah izle yebilirsiniz."
1133,Jerry and Marge Go Large,7.0,2022,United States,0,"Biyografi, Dram, Komedi",David Frankel,rad Copeland,"Annette Bening, Bryan Cranston, Michael McKean",Bulunan ödül yok.,"Jerry and Marge Go Large, Massachusetts piyangosunda matematiksel bir boşluk keşfeden ve karısı Marge'ın yardımıyla milyonlar kazanan ve parayı küçük Michigan kasabalarını canlandırmak için kullanan emekli Jerry Selbee'nin olağanüstü gerçek hikayesine odaklanıyor. Kült Filmlerden 1080p görüntü kalitesiyle Jerry and Marge Go Large izle yebilirsiniz."
1134,Son of Rambow - Rambo’nun Oğlu,7.0,2007,"Almanya, Fransa, United Kingdom, United States",96 dakika,"Aksiyon, Komedi, Macera",Garth Jennings,arth Jennings,"Bill Milner, Jessica Hynes, Will Poulter",1 BAFTA Award3 wins & 10 nominations total.Nominated for 1 BAFTA Award3 ödül & 10 Adaylık. total,"1980'lerin İngiltere'sinde, öğrenciler Will Proudfoot ve Lee Carter tesadüfen bir koridorda karşılaşırlar. Çocuklar zıt kutuplar olsa da Lee, Will'den Sylvester Stallone'un popüler filmi ""Rambo: First Blood""dan esinlenerek ev yapımı bir aksiyon filmi yapmasına yardım etmesini ister. "
1135,The Good Witch’s Garden,7.0,2009,Canada,0,"Aile, Dram, Fantastik",Craig Pryce,". Ross Parker, Rod Spence","Catherine Bell, Catherine Disher, Chris Potter",Bulunan ödül yok.,"Bir kadın (Catherine Bell), evinin yasal mülkiyetine sahip olduğunu iddia eden bir yabancının tehdidiyle karşı karşıyadır."
1136,Karanliktakiler,7.0,2009,Türkiye,100 dakika,"Dram, Gerilim, Yerli",Cagan Irmak,agan Irmak,"Derya Alabora, Erdem Akakçe, Riza Akin",1 ödül & 3 Adaylık.,"Egemen otuzlu yaşlarında bir reklam ajansında işçi olarak çalışan ve ilerleyen yaşına rağmen annesi Gülseren ile aynı evde yaşamak zorunda kalan bir adamdır. Egemen için hayat, annesinin zihinsel kararmalarıyla uğraşmak demekti ve cehennemin evlerinde saklanmış, belki de onlar için hazırlanmış küçük bir versiyonu gibiydi. Gülseren için ise hayatı yaşamaya değer kılan tek şey Egemen'dir. Gerisi, kendini hapsettiği evinde bitmeyen bir endişe ve huzursuz bir ruhtur. Birlikte olmak istediği tek kişi Egemen'dir. Onu oğlundan ayırabilecek bir şeyin düşüncesi bile onu çıldırtmaya yetiyor. Karanlıktakiler, bilerek ya da bilmeyerek ötekileştirdiklerimizin, zaman zaman ürküten, zaman zaman gerlimli ve biraz da komik hikayesidir. Kült Filmlerden 1080p görüntü kalitesiyle Karanliktakiler izle yebilirsiniz."
1137,Bull Durham - Boğa Takımı,7.0,1988,United States,108 dakika,"Komedi, Romantik, Spor",Ron Shelton,on Shelton,"Kevin Costner, Susan Sarandon, Tim Robbins",1 Oscar Adaylığı. 7 ödül & 6 adaylık. total,"Tecrübeli bir beyzbolcu olan Crash Davis (Kevin Costner) çaylak ama yetenekli atıcı Ebby'i (Tim Robbins) yetiştirmek üzere Durham Bulls'a transfer edilir. 'Bir çocuk bakıcısı' olarak transfer edilmiş olmak sinirlerini bozsa da, başka bir yerde oynama şansı olmadığı için işi kabul eder. Bu arada takımın en iyi seyircisi olan Annie (Susan Sarandon) kendine bir misyon belirlemiştir: Her sene takımdan kendisinin seçtiği bir oyuncu ile yakından ilgilenmekte, onun olgunlaşmasına yardımcı olmaktadır. Bu sene göz bebeği Ebby'dir. Ancak sonra Crash'le de ilgilenmeye başlayacaktır. Kült Filmlerden 1080p görüntü kalitesiyle Bull Durham izle yebilirsiniz."
1138,Barcelona,7.0,1994,United States,101 dakika,"Dram, Komedi, Romantik",Whit Stillman,hit Stillman,"Chris Eigeman, Taylor Nichols, Tushka Bergen",1 ödül & 1 nomination,"1980'lerde gergin Ted Boynton, Chicago merkezli bir şirketin Barselona ofisinde çalışan bir satıcıdır. Bir ABD filosu için halkla ilişkiler görevi amacıyla İspanya'ya gelen bir deniz subayı olan kuzeni Fred'den beklenmedik bir ziyaret alır. Ted ve Fred'in arasına burada kadınlar girecektir."
1139,Borsalino,7.0,1970,"Fransa, Italy",125 dakika,"Dram, Suç",Jacques Deray,"ean-Claude Carrière, Jean Cau, Jacques Deray","Alain Delon, Catherine Rouvel, Jean-Paul Belmondo",Bulunan ödül yok.,"1930'larda Fransa, Marsilya'da gangster Siffredi, hapisten çıktığında eski kız arkadaşını bulmak ister. Ancak Siffredi'nin eski sevgilisi başka bir gangster olan Capella ile birliktedir ve bir kavga başlar. Sakinleştikten sonra, iki adam ortak olmaya karar verir ve yeraltı suç dünyasını kontrol etmek için yavaş ama istikrarlı bir arayışa başlar. Dövüşler ve at yarışlarını düzeltmekle başlarlar, ancak sonunda hayatlarını tehlikeye atan daha tehlikeli işlere geçerler."
1140,Macadam Stories - Apartman Hikâyeleri(Asphalte - Asfalt) ,7.0,2015,Fransa,100 dakika,"Dram, Komedi",Samuel Benchetrit,"amuel Benchetrit, Gábor Rassov","Gustave Kervern, Isabelle Huppert, Valeria Bruni Tedeschi",Bulunan ödül yok.,"Fransız kentsel ormanının kalbindeki harap bir apartmanda, sosyal anonimlik, yalnızlık ve zamanın delici okşamasının acı verici etkisi, özverili nezaket, dayanışma ve paradoksla garip bir karşılaşma ile iç içe geçiyor."
1141,The African Doctor(Bienvenue à Marly-Gomont) ,7.0,2016,Fransa,96 dakika,"Biyografi, Dram, Komedi",Julien Rambaldi,"enoît Graffin, Julien Rambaldi, Kamini Zantoko","Aïssa Maïga, Bayron Lebli, Marc Zinga",Bulunan ödül yok.,"Fransa'da Kongo kökenli yeni mezun bir doktor olan Seyolo Zantoko'nun, ailesiyle birlikte küçük bir kırsal köye entegre olmak için mücadele etmesi ve sonunda bölgenin en saygın doktorlarından biri olarak kabul edilmesinin hikayesi."
1142,Bad Timing - Kötü Zamanlama(Bad Timing/A Sensual Obsession) ,7.0,1980,"Amerika, İngiltere",123 dakika,"Dram, Gizem",Nicolas Roeg,ale Udoff ,"Art Garfunkel, Denholm Elliott, Harvey Keitel, Theresa Russell",3 ödül,"Genç bir Amerikalı kadın, görünüşe göre intihar girişiminde bulunarak aşırı dozda hap aldığı için hastaneye kaldırılır. Bir polis dedektifi, Amerikalı bir psikoloji profesörü olan sevgilisinin bu olayda parmağı olduğu konusunda şüphelenir. Doktorlar kadının hayatını kurtarmaya çalışırken, dedektif profesörü sorguya çeker ve geriye dönüşlerle kadının aşırı doz almasına yol açan olaylar zincirini görürüz; profesörle fırtınalı ve yoğun cinsel ilişkisi, aşırı içki ve sayısız olay ve kocasından uzaklaşması... Kült filmlerden 1080p görüntü kalitesiyle Bad Timing/A Sensual Obsession altyazılı izle yebilirsiniz."
1143,The Towering Inferno - Yangın Kulesi,7.0,1974,United States,165 dakika,"Aksiyon, Dram, Gerilim",John Guillermin,"ichard Martin Stern, Thomas N. Scortia, Frank M. Robinson","Paul Newman, Steve McQueen, William Holden",3 Oscar Kazandı. 12 ödül & 13 adaylık. total,"Mimar Doug Roberts, tasarladığı Cam Kule'nin açılış törenine katıldığında, bir yangın çıkınca işler sarsıcı bir hal alır ve korkunç bir durumla karşı karşıya kalan konukların hayatları tehlikeye girer. Kült Filmlerden 1080p görüntü kalitesiyle Slalom izle yebilirsiniz."
1144,The Salton Sea - Salton Denizi,7.0,2002,United States,103 dakika,"Dram, Gizem, Suç",D.J. Caruso,ony Gayton,"Adam Goldberg, Val Kilmer, Vincent D'Onofrio",Bulunan ödül yok.,"Danny Parker, çok sevdiği karısının öldürülmesinden sonra hiçbir şeyin göründüğü gibi olmadığı bir dünyada başıboş kalır. Yolculuğu sırasında tembel Finli Jimmy ile arkadaş olur. Kült Filmlerden 1080p görüntü kalitesiyle The Salton Sea izle yebilirsiniz."
1145,Amish Grace(Amişlerin Merhameti) ,7.0,2010,United States,89 dakika,Dram,Gregg Champion,"icky Levy, Teena Booth, Donald B. Kraybill","Fay Masterson, Kimberly Williams-Paisley, Tammy Blanchard",5 ödül & 4 Adaylık.,"Korkunç bir olay, sessiz bir Pennsylvania Amish topluluğunun hayatını sonsuza dek değiştirir. Silahlı bir adam intihar etmeden önce bir okulda beş kızı öldürür ve beş kızı da yaralar. Trajediye ek olarak, basit ve barışçıl Amish'i daha da rahatsız eden sansasyonel medyanın gelişidir."
1146,Monte Walsh - Kahramanın Sonu,7.0,1970,United States,106 dakika,Western,William A. Fraker,"ukas Heller, David Zelag Goodman, Jack Schaefer","Jack Palance, Jeanne Moreau, Lee Marvin",Bulunan ödül yok.,"Monte Walsh, Vahşi Batı döneminin son günleriyle karşı karşıya olan yaşlanan bir kovboydur. Dikenli teller ve demiryolları kovboy ihtiyacını giderek ortadan kaldırırken, Monte ve arkadaşları gitgide daha az seçenekle baş başa kalıyor. Onlar için yeni iş fırsatları var, ancak özledikleri şey açık çayırların özgürlüğü. Sonunda hepsi bildikleri hayatlara veda etmek ve yeni bir başlangıç ​​yapmaya çalışmak zorunda kalırlar. Kült Filmlerden 1080p görüntü kalitesiyle Monte Walsh izle yebilirsiniz."
1147,Clara Sola,7.0,2021,"Almanya, Belgium, Costa Rica, Fransa, Sweden, United States",2 dakika,Dram,Nathalie Álvarez Mesén,"aria Camila Arias, Nathalie Álvarez Mesén","Ana Julia Porras Espinoza, Daniel Castañeda Rincón, Wendy Chinchilla Araya",17 ödül & 20 Adaylık.,"Kosta Rika'nın uzak bir kasabasında, 40 yaşındaki içine kapanık bir kadın olan Clara, onu hayatı boyunca bastırmış olan sosyal ve dini geleneklerden kurtaracak bir yolculuğun başlangıcı olacak cinsel ve mistik bir uyanış yaşar."
1148,Tamam mıyız?(Are We OK?) ,7.0,2013,Türkiye,92 dakika,"Dram, Yerli",Cagan Irmak,agan Irmak,"Aras Bulut Iynemli, Deniz Celiloglu, Sumru Yavrucuk",1 ödül & 1 nomination,"Temmuz, İstanbul'da köpeğiyle bir apartman dairesinde yaşayan eşcinsel bir heykeltıraştır. Bohem bir yaşam tarzı sürüyor ve mutlu, tasasız, eksantrik bir karaktere sahip, bir gün aldığı erkek arkadaşının ondan ayrıldığını öğrendiğinde dünyası başına yıkılır bu süreçte ona varlıklı annesi ve en iyi arkadaşı Beste teselli verir. Bu sırada rüyasında sürekli kendisini yardıma ve kurtarmaya çağıran genç bir adam görür. Bir gün annesiyle otobüse binerken bu adama rastlar. Kült Filmlerden 1080p görüntü kalitesiyle Tamam mıyız? izle yebilirsiniz."
1149,True Mothers - Anne Gibi(Asa ga kuru) ,7.0,2020,"Fransa, Japan",140 dakika,Dram,Naomi Kawase,"aomi Kawase, Izumi Takahashi, Mizuki Tsujimura","Aju Makita, Arata Iura, Hiromi Nagasaku",4 ödül & 19 Adaylık.,"Bir çiftin üremek ve çocuk sahibi olmak istemesi garip veya olağandışı değildir. Ancak Kiyokazu ve eşi Satoko için işler pek de yolunda gitmez. Bir türlü çocuğu olmayan çift, bir erkek çocuğu evlat edinmeye karar verir. İkisi mutlu bir şekilde evlat edindikleri oğullarına uyum sağlıyorlar, ancak Hikari Katakura adında bir kadın çok geçmeden çocuğun biyolojik annesi olduğunu söyleyerek ortaya çıkıyor. Satoko, Hikari ile yüzleşmeye karar verir. Kült Filmlerden 1080p görüntü kalitesiyle True Mothers izle yebilirsiniz."
1150,Closet Monster - Dolaptaki Canavar,7.0,2015,Canada,90 dakika,"Dram, Fantastik, Gizem",Stephen Dunn,"tephen Dunn, Don McKellar","Aaron Abrams, Jack Fulton, Joanne Kelly",10 ödül & 11 Adaylık.,"Yetişkinliğe geçiş hikayesine yeni bir yorum getiren bu gerçeküstü hikaye, yetişkinliğin eşiğinde gezinen sanatsal bir kişiliğe sahip Oscar'ı takip ediyor. Zorlu bir çocukluk geçirdikten sonra dünyadaki yerini bulmaya çalışan ve geçmişte yaşadığı trajik bir olayın ona musallat olmasının ardından Oscar, küçük kasabasından kaçmanın hayalini kuruyor. Gizemli ve çekici yeni arkadaşıyla tanıştıktan sonra Oscar, evcil hamsterı Buffy'nin rehberliğini takip eder ve istediği hayatı bulmak için şeytanlarıyla yüzleşir. Kült Filmlerden 1080p görüntü kalitesiyle Closet Monster izle yebilirsiniz."
1151,The Last Princess - Son Prenses(Deokhyeongju) ,7.0,2016,South Korea,127 dakika,"Aksiyon, Biyografi, Dram",Jin-ho Hur,"in-ho Hur, Bi-Young Kwon, Han-eol Lee","Park Hae-il, Ra Mi-ran, Son Ye-jin",9 ödül & 10 Adaylık.,"Japon İmparatorluğu, baskıcı Japon sömürge egemenliği altında, Kral Gojong'un ölümünden sonra Joseon hanedanının son prensesi Deok-hye'yi Japonya'ya taşınmaya zorlar. Bir prenses olarak saygınlığını korumak için mücadele ederken günlerini Kore'ye dönme özlemiyle geçirir. Bir dizi başarısız girişimin ardından Deok-hye, çocukluk arkadaşı Jang-han'ın yardımıyla eve dönmek için son girişimini yapar. Kült Filmlerden 1080p görüntü kalitesiyle The Last Princess izle yebilirsiniz."
1152,Vesper,7.0,2022,"Belgium, Fransa, Lithuania",1 dakika,"Bilim Kurgu, Dram, Macera","Bruno Samper, Kristina Buozyte","ristina Buozyte, Brian Clark, Bruno Samper","Eddie Marsan, Raffiella Chapman, Rosy McEwen",1 ödül & 1 nomination,"Dünya ekosisteminin çöküşünden sonra distopik bir gelecekte geçen 13 yaşındaki felçli babasıyla hayatta kalmaya çalışan Vesper, Vesper'ı zekasını, gücünü ve biyo-hack'ini kullanmaya zorlayan bir sırrı olan gizemli bir kadınla tanışır."
1153,Lalelide Bir Azize(A Madonna in Laleli) ,7.0,1999,Türkiye,85 dakika,"Dram, Gerilim, Suç, Yerli",Kudret Sabanci,"erdar Akar, Kudret Sabanci, Önder Çakar","Cengiz Küçükayvaz, Ella Manea, Güven Kiraç, Istar Göksever",Bulunan ödül yok.,Lalelide Bir Azize filmi için Gemide'nin tamamlayıcısı diyebiliriz. Üç kafadar büyük patrondan habersiz kadın pazarlayıp onu dolandırmaya çalışıyor. Ancak işler umdukları gibi gitmiyor. Bakire bir hayat kadınını anlaştıkları iş adamına götürürken karşılarına 4 denizci çıkıyor ve hem kızı hemde hasılatı alıp kaçıyorlar... Lalelide Bir Azize filmini kült filmler den 1080p hd görüntü kalitesiyle restorasyonlu olarak izleyebilirsiniz..
1154,Biggie: I Got a Story to Tell - Biggie: Anlatacak Bir Hikayem Var,7.0,2021,Amerika,0,"Belgesel, Biyografi, Müzik",Emmett Malloy,Senarist belirtilmemiş.,Oyuncular belirtilmemiş.,Bulunan ödül yok.,"Bu yapımda Biggie'nin nadir görülen görüntüleri, en yakın arkadaşları ve ailesiyle yapılan röportajlar ile Biggie'nin hiç bilinmeyen dünyasına tanıklık ediyoruz. Jeff Lebowski ortasında kaldığı bu yanlış anlaşılmayı fark edip adaşını bulmaya çalıştığı bir maceraya atılacaktır. Kült filmlerden 1080p görüntü kalitesiyle Biggie: I Got a Story to Tell altyazılı izle yebilirsiniz."
1155,The Little Thief - Hırsız Kız(La petite voleuse) ,7.0,1988,Fransa,109 dakika,"Dram, Komedi",Claude Miller,"rançois Truffaut, Claude de Givray, Claude Miller","Charlotte Gainsbourg, Didier Bezace, Simon de La Brosse",3 ödül & 3 Adaylık.,"İkinci Dünya Savaşı sonrası Fransa'da küçük bir kasabada, on altı yaşındaki mutsuz bir çocuk, elindeki her yolla bu kasvetli durumdan kurtulmaya çalışır. Arka arkaya üç arkadaş (Michel Davenne, evli ve aşık; Raoul, bir hırsız arkadaşı; Mauricette Dargelos, bir fotoğrafçı ve mahkum) hatalarından ders almasına yardım eder. Kült Filmlerden 1080p görüntü kalitesiyle The Little Thief izle yebilirsiniz."
1156,Italian for Beginners - Yeni Başlayanlar İçin İtalyanca(Italiensk for begyndere) ,7.0,2000,"Denmark, Sweden",112 dakika,"Dram, Komedi, Romantik",Lone Scherfig,"aeve Binchy, Lone Scherfig","Anders W. Berthelsen, Anette Støvelbæk, Ann Eleonora Jørgensen",21 ödül & 22 Adaylık.,"Danimarka'nın banliyölerinde yaşayan ve akşamları aynı kursa giden 6 kişinin, beklentileri ve sonucunda yaşadıkları hayal kırıklıkları karşısında tutunacak dal olarak İtalyanca'yı görürler. Karısının ölümüyle hayatının yönünü kaybetmiş genç bir rahip, inanılmaz derecede sakar bir kasiyer, cinsel organını kullanmadığı için köreldiğine inanarak iktidarsız olduğunu düşünen bir otel memuru, bulunduğu ülkenin dilini konuşamayan güzel bir İtalyan garson, sivri dili ile başına dert açan futbol delisi bir restoran müdürü ve annesinin hastalığıyla boğuşan hüzünlü bir kuaför. Kült Filmlerden 1080p görüntü kalitesiyle Italian for Beginners izle yebilirsiniz."
1157,Playing by Heart - Çapraz Hayatlar,7.0,1998,United States,121 dakika,"Dram, Romantik",Willard Carroll,illard Carroll,"Ellen Burstyn, Gillian Anderson, Sean Connery",1 ödül & 1 nomination,"Aşkın Los Angeles'tan rastgele 11 kişiyi nasıl bağladığına dair bu hikayede, evli bir çift yeminlerini yenilemeye hazırlanıyor; dul bir anne ölmekte olan bir oğluna bakmakta; bir çiftin bir ilişkisi vardır; bir tiyatro yönetmeni bir yabancıyla ilişki kurar; Bir aktris adayı utangaç bir genç adamın peşine düşer ve yalnız bir adam yabancılara kalp kırıklığından bahseder."
1158,Speak No Evil(Gæsterne) ,7.0,2022,"Denmark, Netherlands",1 dakika,"Dram, Gizem, Korku",Christian Tafdrup,"hristian Tafdrup, Mads Tafdrup","Fedja van Huêt, Morten Burian, Sidsel Siem Koch",1 ödül & 4 Adaylık.,"Toskana'da bir tatilde, biri Danimarkalı, biri Hollandalı iki aile tanışır ve hızlı arkadaş olurlar. Aylar sonra, özgür ruhlu Hollandalı aile, daha muhafazakar Danimarkalı aileye kırsal evlerinde bir hafta sonu tatili için bir davetiye gönderir. Ancak, yeniden birleşmenin sevinci yerini yanlış anlamalara bıraktığından, işler yavaş yavaş kontrolden çıkar. Hollanda misafirperverliği Danimarkalılar için çabucak sinir bozucu hale geliyor ve kendilerini, eksantrik... veya uğursuz... davranışlar karşısında giderek kendi nezaketlerinin bir ağına yakalanmış buluyorlar."
1159,Thirteen Conversations About One Thing - Bir Konu On Üç Sohbet,7.0,2001,United States,104 dakika,Dram,Jill Sprecher,"aren Sprecher, Jill Sprecher","Alan Arkin, John Turturro, Matthew McConaughey",8 ödül & 7 Adaylık.,"Orta yaşa yaklaşan bir adam hayatını değiştirmeye karar verir. Yükselen genç bir avukatın planları tek bir eylemin sonucu olarak alt üst olur. Bir kadın kocasının sadakatsizliğiyle yüzleşir. Kıskanç bir iş adamı, neşeli bir iş arkadaşından intikam almak istiyor ve iyimser, genç bir temizlikçi kadın bir mucize bekliyor. Bunlar yalnızca günlük New York yaşamının gelgitleri: kaotik, yalıtılmış, dağınık. One Thing Hakkında On Üç Konuşma, beş çağdaş öyküyü, insanların birbirleri üzerindeki dramatik etkisini inceleyen tek bir öyküde bir araya getiriyor."
1160,Words on Bathroom Walls,7.0,2020,Amerika,110 dakika,"Dram, Romantik",Thor Freudenthal,"ick Naveda, Julia Walton ","Andy Garcia, AnnaSophia Robb, Charlie Plummer, Taylor Russell",Bulunan ödül yok.,"Words on Bathroom Walls Tipik bir genç yetişkine benzeyen esprili ve içe dönük Adam'ın hikayesini ele alıyor. Adam hormonlarının da etkisiyle çevresine karşı son derece öfkeli bir tavra sahip ancak şef olma hayalinin peşinden gidiyor ve gelecekten son derece umutlu. Kimya dersinde yaşanan bir olayın ardından son yılının yarısında okuldan atılan Adam'a akıl hastalığı teşhisi konur. Dönemini bitirmek için bir Katolik akademisine gönderilen Adam'ın uyum sağlama umudu çok azdır ve sadece tekrar bir aşçılık okuluna kaydolana kadar hastalığını gizli tutmak için çaba harcar. Bir gün açık sözlü ve son derece zeki bir kız olan Maya ile tanıştığında aralarında duygusal ve rahatlatıcı bir bağlantı oluşur. Romantizmi derinleştikçe Adam, ona kalbini ve içini açacaktır. Words on Bathroom Walls filmini kült filmlerden 1080p türkçe altyazılı izle yebilirsiniz."
1161,Happy Gilmore - Mutlu Gilmore,7.0,1996,Amerika,92 dakika,"Komedi, Spor",Dennis Dugan,"im Herlihy, Adam Sandler","Adam Sandler, Christopher McDonald, Frances Bay, Julie Bowen",1 ödül & 4 Adaylık.,"Happy Gilmore uzun zamandır bir hokey oyuncusu olmayı arzuluyordu. İyi şutlar kullanmasına rağmen kayma kabiliyetine sahip olmaması onu herhangi bir hokey takımı tarafından kabul edilmekten alıkoyuyor. Bu sırada Happy'yi büyüten büyükannesi vergilerini ödeyemediği için evinden tahliye ediliyor. Happy golf'e merak salıp topu iyi kontrol edebildiğini öğrendikten sonra, büyükannesinin evini geri almak için para kazanmak amacıyla PGA turnuvasına katılmaya karar verir. Happy'nin kötü çocuk imajı sadık bir takipçi kitlesi edinmesine yarayacak peki bu turnuvayı kazanabilecek mi? Kült filmlerden 1080p görüntü kalitesiyle Happy Gilmore altyazılı izle yebilirsiniz."
1162,Joy House - Aşk Kafesi(Les félins) ,7.0,1964,Fransa,97 dakika,"Dram, Romantik, Suç",René Clément,"ené Clément, Pascal Jardin, Charles Williams","Alain Delon, Jane Fonda, Lola Albright",Bulunan ödül yok.,"Kız arkadaşının gangster kocasından kaçan küçük çaplı bir dolandırıcı, iki gizemli kadın tarafından işletilen tuhaf, bir malikanede saklanır. Orada kendini iki kadın arasındaki aldatmacanın içinde bulur. Kült Filmlerden 1080p görüntü kalitesiyle Joy House izle yebilirsiniz."
1163,Secret Reunion - Gizli Ortaklık(Ui-hyeong-je) ,7.0,2010,South Korea,117 dakika,"Aksiyon, Dram, Gerilim",Hun Jang,"in-seok Jang, Joo-Ho Kim, Kwang-young Choi","Dong-won Gang, Seung-ik Baek, Song Kang-ho",3 ödül & 5 Adaylık.,"Kovulan bir Güney Koreli ajan ve terkedilmiş bir Kuzey Koreli casus, altı yıl sonra tesadüfen tanışır ve her biri diğerinden bilgi çalmak amacıyla bir iş ortaklığına başlar."
1164,Man in Love - Aşık Bir Erkek(Dang nan ren lian ai shi) ,7.0,2021,Taiwan,115 dakika,"Dram, Romantik",Chen-Hao Yin,"hih-Chung Chien, Lyra Fu, Kab-yeol Yu","Hsin-Ling Chung, Roy Chiu, Wei-Ning Hsu",1 ödül & 8 Adaylık.,"Küçük çaplı bir gangster, aşık olduğu bir kıza beceriksizce kur yapmaya çalışır. Onu kazanıp yeraltı dünyasını geride bırakabilecek mi?"
1165,Hideous,7.0,2022,United Kingdom,22 dakika,"Dram, Kısa Metrajlı, Korku",Yann Gonzalez,"ann Gonzalez, Oliver Sim","Fehinti Balogun, Jimmy Somerville, Oliver Sim",Bulunan ödül yok.,"Popstar Oliver Sim, kısa süre sonra gerçeküstü bir aşk, utanç ve kan yolculuğuna kayan bir talk-show'un ana konuğu. Üç bölümden oluşan kısa bir müzikal."
1166,A Man of Action - Aksiyon Adamı(Un hombre de acción) ,7.0,2022,İspanya,111 dakika,"Biyografi, Dram, Suç",Javier Ruiz Caldera,atxi Amezcua,"Juan José Ballesta, Liah O'Prey, Luis Callejo",Bulunan ödül yok.,"A Man of Action, 1940'lardan 1980'lere kadar 50 yılı kapsayan hızlı tempolu bir film. Lucio'nun duvarcıdan banka soyguncusu olarak mütevazi başlangıcından birini büyük bir çetenin liderliğini ele geçirmesine kadar olan hikayesini takip ediyor. "
